,순위,노래제목,가수
0,1,"HOME SWEET HOME (feat. 태양, 대성)",G-DRAGON
1,2,Whiplash,aespa
2,3,APT.,로제(ROSÉ)
3,4,POWER,G-DRAGON
4,5,너와의 모든 지금,재쓰비 (JAESSBEE)
5,6,Mantra,제니 (JENNIE)
6,7,number one girl,로제(ROSÉ)
7,8,UP (KARINA Solo),aespa
8,9,Drowning,WOODZ
9,10,Letter To Myself,태연 (TAEYEON)
10,11,나는 반딧불,황가람
11,12,Igloo,KISS OF LIFE
12,13,멈추지 않아,PLAVE
13,14,HAPPY,DAY6 (데이식스)
14,15,내 이름 맑음,QWER
15,16,DRIP,BABYMONSTER
16,17,Welcome to the Show,DAY6 (데이식스)
17,18,Supernova,aespa
18,19,한 페이지가 될 수 있게,DAY6 (데이식스)
19,20,PINATA,에이스 (A.C.E)
20,21,Supernatural,NewJeans
21,22,녹아내려요,DAY6 (데이식스)
22,23,고민중독,QWER
23,24,How Sweet,NewJeans
24,25,내게 사랑이 뭐냐고 물어본다면,로이킴
25,26,Cherish (My Love),아일릿(ILLIT)
26,27,소나기,이클립스 (ECLIPSE)
27,28,Armageddon,aespa
28,29,네모네모,YENA (최예나)
29,30,Magnetic,아일릿(ILLIT)
30,31,청춘만화,이무진
31,32,밤양갱,비비(BIBI)
32,33,Love me or Leave me,DAY6 (데이식스)
33,34,Supersonic,프로미스나인
34,35,첫 만남은 계획대로 되지 않아,TWS (투어스)
35,36,클락션 (Klaxon),(여자)아이들
36,37,Love wins all,아이유(IU)
37,38,Spicy,aespa
38,39,To. X,태연 (TAEYEON)
39,40,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션(Nerd Connection)
40,41,I AM,IVE (아이브)
41,42,예뻤어,DAY6 (데이식스)
42,43,Hype Boy,NewJeans
43,44,Gravity,FIFTY FIFTY
44,45,그걸 사랑이라고 말하지마,다비치
45,46,천상연,이창섭
46,47,Ditto,NewJeans
47,48,Congratulations,DAY6 (데이식스)
48,49,주저하는 연인들을 위해,잔나비
49,50,ETA,NewJeans
50,51,슬픈 초대장,순순희 (지환)
51,52,너의 모든 순간,성시경
52,53,인사,범진
53,54,MEOW,MEOVV (미야오)
54,55,해야 (HEYA),IVE (아이브)
55,56,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU(악뮤)
56,57,Attention,NewJeans
57,58,내가 S면 넌 나의 N이 되어줘,TWS (투어스)
58,59,Super Shy,NewJeans
59,60,숲,최유리
60,61,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴(Paul Kim)
61,62,Small girl (feat. 도경수(D.O.)),이영지
62,63,비의 랩소디,임재현
63,64,Blue Moon,엔플라잉(N.Flying)
64,65,에피소드,이무진
65,66,나는 아픈 건 딱 질색이니까,(여자)아이들
66,67,그녀가 웃었다,DAY6 (데이식스)
67,68,사랑은 늘 도망가,임영웅
68,69,Blur,태연 (TAEYEON)
69,70,미안해 미워해 사랑해,Crush
70,71,After LIKE,IVE (아이브)
71,72,Cruel Summer,Taylor Swift(테일러 스위프트)
72,73,SOS,FIFTY FIFTY
73,74,Sticky,KISS OF LIFE
74,75,오래된 노래,허각
75,76,청혼하지 않을 이유를 못 찾았어,이무진
76,77,Dangerously,Charlie Puth(찰리 푸스)
77,78,그리운건 그대일까 그때일까 (A Sleepless Night),씨엔블루(CNBLUE)
78,79,사건의 지평선,윤하(Younha/ユンナ)
79,80,Blue Eyes,태연 (TAEYEON)
80,81,나였으면,HYNN(박혜원)
81,82,"LOVE, MONEY, FAME (feat. DJ Khaled)",세븐틴(SEVENTEEN)
82,83,헤어지자 말해요,박재정
83,84,Live My Life,aespa
84,85,Bubble Gum,NewJeans
85,86,Drama,aespa
86,87,Boom Boom Bass,RIIZE
87,88,Die With A Smile,Lady GaGa(레이디 가가)
88,89,아직 거기 살아,DAY6 (데이식스)
89,90,Disaster,태연 (TAEYEON)
90,91,별별별 (See that?),NMIXX
91,92,포인트 니모,윤하(Younha/ユンナ)
92,93,Girls Never Die,tripleS (트리플에스)
93,94,SPOT! (feat. JENNIE),지코 (ZICO)
94,95,Steal The Show (From “엘리멘탈”),Lauv(라우브)
95,96,Hot Mess,태연 (TAEYEON)
96,97,사랑인가 봐,멜로망스(MeloMance)
97,98,LOVE DIVE,IVE (아이브)
98,99,Cosmic,Red Velvet (레드벨벳)
99,100,Like A Flower,아이린 (IRENE)
