,종목명,가격정보,거래량
0,KODEX 200선물인버스2X,"2,340","87,295,120"
1,KODEX 코스닥150선물인버스,"3,955","43,477,504"
2,일신석재,"1,704","41,648,447"
3,삼성 인버스 2X WTI원유 선물 ETN,94,"41,018,939"
4,삼부토건,"1,176","38,738,899"
5,KODEX 코스닥150레버리지,"7,565","38,087,403"
6,삼성전자,"57,900","33,951,276"
7,신한 인버스 2X WTI원유 선물 ETN(H),78,"20,745,930"
8,KODEX 레버리지,"15,530","15,273,863"
9,KODEX 인버스,"4,550","14,203,512"
10,SG글로벌,"2,815","13,858,647"
11,한화솔루션,"16,820","13,420,776"
12,성안머티리얼스,540,"12,937,272"
13,한국패러랠,172,"12,399,684"
14,YG PLUS,"5,000","12,228,970"
15,형지엘리트,"1,214","11,788,392"
16,보해양조,460,"11,266,468"
17,삼성중공업,"11,910","10,980,218"
18,범양건영,"3,330","10,190,677"
19,서울식품,156,"10,082,415"
20,KODEX 코스닥150,"11,905","9,608,295"
21,KODEX 2차전지산업레버리지,"1,837","9,548,309"
22,현대로템,"60,000","9,239,930"
23,한화오션,"37,750","8,759,355"
24,일성건설,"1,705","8,626,176"
25,대창,"1,236","8,405,000"
26,현대제철,"20,950","8,078,815"
27,현대건설,"27,400","7,938,303"
28,두산에너빌리티,"22,150","7,213,396"
29,한화시스템,"26,400","6,084,076"
30,삼성 인버스 2X 코스닥150 선물 ETN,"7,090","6,071,696"
31,KODEX 200,"33,735","5,433,509"
32,삼성전자우,"49,050","5,230,437"
33,금양,"28,400","5,021,751"
34,RISE 200,"33,975","5,006,951"
35,TIGER 미국S&P500,"20,900","4,726,540"
36,플레이그램,397,"4,630,883"
37,SK하이닉스,"177,000","4,249,023"
38,남선알미늄,"1,389","4,001,731"
39,TIGER 200선물인버스2X,"2,475","3,851,402"
40,대한전선,"11,940","3,750,834"
41,넥스틸,"11,580","3,569,198"
42,SOL 조선TOP3플러스,"14,705","3,552,998"
43,한화엔진,"17,480","3,377,284"
44,우리금융지주,"16,850","3,362,916"
45,HJ중공업,"4,345","3,278,786"
46,LG유플러스,"11,240","3,050,536"
47,KODEX 미국S&P500TR,"19,170","3,008,281"
48,에이프로젠,"1,174","2,967,413"
49,동양철관,790,"2,898,756"
50,삼성 레버리지 천연가스 선물 ETN C,"4,640","2,872,079"
51,가온전선,"43,300","2,730,805"
52,TYM,"4,900","2,619,660"
53,해태제과식품,"6,070","2,590,471"
54,대원전선,"2,765","2,550,097"
55,한국전력,"23,750","2,469,736"
56,코스모신소재,"66,100","2,442,062"
57,삼성 레버리지 WTI원유 선물 ETN,"1,376","2,380,173"
58,TIGER 화장품,"2,455","2,353,937"
59,TIGER 미국테크TOP10 INDXX,"22,765","2,345,692"
60,NAVER,"193,200","2,307,569"
61,HMM,"18,880","2,297,699"
62,KB금융,"98,000","2,268,766"
63,TIGER 2차전지TOP10레버리지,"1,999","2,220,591"
64,이스타코,700,"2,217,252"
65,ACE 미국30년국채액티브(H),"8,195","2,153,331"
66,유한양행,"118,200","2,152,746"
67,TIGER 코리아밸류업,"9,620","2,112,863"
68,갤럭시아에스엠,"2,200","2,095,728"
69,인디에프,731,"2,090,778"
70,파미셀,"4,950","2,087,276"
71,ACE 테슬라밸류체인액티브,"16,495","2,056,804"
72,LS네트웍스,"3,035","1,969,163"
73,TIGER 미국30년국채커버드콜액티브(H),"8,995","1,950,734"
74,신한지주,"56,400","1,948,138"
75,미래에셋증권,"8,480","1,932,732"
76,기업은행,"14,650","1,872,677"
77,TIGER 차이나전기차SOLACTIVE,"9,210","1,845,195"
78,GS글로벌,"3,350","1,819,634"
79,태양금속,"2,800","1,805,346"
80,LG디스플레이,"9,880","1,775,681"
81,하나금융지주,"62,900","1,771,898"
82,HD현대인프라코어,"7,470","1,749,250"
83,티웨이항공,"2,945","1,725,480"
84,한화투자증권,"3,705","1,722,744"
85,KODEX 2차전지산업,"14,750","1,712,823"
86,세진중공업,"8,460","1,671,990"
87,한국카본,"11,270","1,658,151"
88,TIGER 200,"33,760","1,624,137"
89,TIGER 2차전지소재Fn,"5,070","1,615,397"
90,티웨이홀딩스,665,"1,560,370"
91,PLUS 200,"34,260","1,546,927"
92,팬오션,"3,615","1,544,625"
93,한국항공우주,"62,300","1,492,370"
94,기아,"97,200","1,474,204"
95,미래에셋 인버스 2X 코스닥150 선물 ETN,"7,100","1,458,604"
96,N2 인버스 레버리지 WTI원유 선물 ETN(H),72,"1,434,280"
97,TIGER 미국배당다우존스타겟커버드콜2호,"11,255","1,430,866"
98,대한항공,"24,200","1,388,563"
99,삼성E&A,"18,800","1,366,312"
