,메뉴명,가격
0,소불고기 청양크림 파스타,"6,500"
1,햄버그 나폴리탄 파스타,"5,500"
2,데미 미트볼 덮밥,"4,900"
3,오모가리 김치제육덮밥,"4,900"
4,빅 오모가리 김치제육덮밥,"5,500"
5,한우 함박스테이크& 청양 토네이도 소세지,"8,900"
6,한우 함박스테이크&토네이도 소세지,"8,900"
7,연잎 오리구이,"7,700"
8,진달래,"8,000"
9,해바라기,"10,000"
10,매화,"10,500"
11,돈치 고기고기,"6,100"
12,돈까스도련님 고기고기,"6,600"
13,새치 고기고기,"7,100"
14,칠리 찹쌀탕수육도련님,"4,500"
15,제육볶음,"4,700"
16,돈까스도련님,"4,900"
17,제육돈까스 도련님,"4,900"
18,돈치스팸,"5,000"
19,치킨제육,"5,000"
20,소불고기,"5,700"
21,믹스후라이,"6,000"
22,동백,"6,200"
23,숯불직화구이,"6,800"
24,송정식 떡갈비,"6,900"
25,송정식 떡갈비 Ⅱ,"6,900"
26,메가치킨제육,"7,800"
27,치킨마요 김치찌개 정식,"7,100"
28,치킨마요 부대찌개 정식,"7,600"
29,빅치킨마요 김치찌개 정식,"7,700"
30,빅치킨마요 부대찌개 정식,"8,200"
31,제육 김치찌개 정식,"8,800"
32,메가스팸마요,"5,900"
33,스팸마요,"4,000"
34,메가치킨마요,"6,200"
35,왕치킨마요,"5,100"
36,빅치킨마요,"4,400"
37,치킨마요,"3,800"
38,참치마요,"3,600"
39,돈치마요,"4,100"
40,돈까스 카레,"4,800"
41,스팸 김치볶음밥,"4,900"
42,김치볶음밥,"4,100"
43,스팸 철판볶음밥,"4,900"
44,소불고기 철판볶음밥,"5,100"
45,묵은지 김치찌개,"5,000"
46,부대찌개,"6,100"
47,스페셜 하이라이스,"5,900"
48,핫 치즈 닭갈비덮밥,"6,100"
49,오리지널 치즈 닭갈비덮밥,"6,100"
50,숯불직화구이 덮밥,"6,000"
51,마파두부 덮밥,"5,000"
52,왕카레돈까스덮밥,"6,100"
53,새우돈까스 덮밥,"4,400"
54,돈까스 덮밥,"4,300"
55,아보카도 소불고기 명란 비빔밥,"6,700"
56,소불고기 감초고추장 비빔밥,"5,700"
57,시골제육 두부강된장 비빔밥,"5,500"
58,참치야채 감초고추장 비빔밥,"3,800"
59,튼튼도시락,"5,300"
60,단품 묵은지 김치찌개,"4,400"
61,단품 카레,"2,900"
62,반찬 순살 고등어 간장구이,"3,900"
63,단품 부대찌개,"4,900"
64,반찬 치킨,"3,800"
65,반찬 고기고기,"3,600"
66,반찬 돈까스도련님,"4,100"
67,반찬 제육볶음,"3,500"
68,반찬 토네이도 소세지,"3,200"
69,반찬 돈까스,"2,900"
70,3종 미니반찬B,"1,300"
71,3종 미니반찬A,"1,300"
72,오징어젓갈,600
73,한솥 두부강된장소스,"1,800"
74,한솥 감초볶음고추장소스,500
75,볶음김치,500
76,김치,500
77,무말랭이 무침,500
78,한솥밥,"1,000"
79,현미밥,"1,700"
80,케이준후라이,"1,900"
81,해시 포테이토 스틱,"2,000"
82,치즈버터 해시 포테이토 스틱,"2,200"
83,허니버터 해시 포테이토 스틱,"2,200"
84,미니 찹쌀탕수육,"2,300"
85,뉴 감자고로케,"2,700"
86,미니 찹쌀핫도그,"2,800"
87,멘치카츠,"2,800"
88,김피탕,"5,500"
89,빅김피탕,"7,900"
90,통현미 닭강정(소),"3,500"
91,통현미 닭강정(중),"8,500"
92,후라이드 순살(소)_양념치킨소스,"4,000"
93,후라이드 순살(소)_케이준소스,"4,000"
94,후라이드 순살(중),"7,500"
95,"치킹 반반순살(양념, 후라이드)","16,900"
96,치킹 반반순살(후라이드),"16,900"
97,제주녹차 미니꿀호떡,"2,500"
